Model,Location,Miles,Prices,Year,Scraped_On
 Honda civic LX Sedan 4D,"Newport, KY",82K miles,"$13,900",2016,2024-07-01
 Volkswagen jetta 1.8T SEL Sedan 4D,"Cincinnati, OH",67K miles · Dealership,"$4,600",2015,2024-07-01
 Toyota corolla LE Sedan 4D,"Fort Mitchell, KY",87K miles,"$13,000",2020,2024-07-01
 Hyundai sonata SE Sedan 4D,"Dayton, OH",110K miles,"$7,499",2016,2024-07-01
 Hyundai elantra SE Sedan 4D,"Louisville, KY",114K miles · Dealership,"$6,500",2017,2024-07-01
 Hyundai accent SE Sedan 4D,"Cincinnati, OH",100K miles,"$3,975",2017,2024-07-01
 Hyundai elantra SE Sedan 4D,"Dayton, OH",79K miles,"$8,460",2019,2024-07-01
 Hyundai elantra SE Sedan 4D,"West Chester, OH",13K miles,"$5,999",2016,2024-07-01
 Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",142K miles,"$7,900",2020,2024-07-01
 Hyundai sonata SE Sedan 4D,"Cincinnati, OH",123K miles,"$7,500",2016,2024-07-01
 Nissan altima 2.5 SL Sedan 4D,"Hebron, KY",71K miles,"$8,800",2015,2024-07-01
 Hyundai elantra 2017,"Fort Thomas, KY",60K miles,$400,2017,2024-07-01
 Mazda mazda6 i Sport Sedan 4D,"Fort Mitchell, KY",118K miles,"$5,900",2013,2024-07-01
 Volkswagen passat 1.8T S Sedan 4D,"Columbus, OH",137K miles · Dealership,"$5,500",2016,2024-07-01
 Volkswagen jetta 1.8T Sport Sedan 4D,"Fort Mitchell, KY",138K miles,"$4,500",2015,2024-07-01
 Toyota camry LE Sedan 4D,"Covington, KY",131K miles,"$5,800",2007,2024-07-01
 Hyundai sonata 2.4l i4 fwd,"Cincinnati, OH",137K miles,"$7,995",2016,2024-07-01
 Honda civic EX Sedan 4D,"Cincinnati, OH",92K miles,"$10,800",2015,2024-07-01
 Hyundai sonata Limited Sedan 4D,"Covington, KY",106K miles,"$6,500",2016,2024-07-01
 Toyota corolla,"Cincinnati, OH",104K miles,"$11,500",2015,2024-07-01
 Toyota camry,"Alexandria, KY",132K miles,"$10,988",2012,2024-07-01
 Honda civic DX Sedan 4D,"Cincinnati, OH",80K miles,"$8,400",2012,2024-07-01
 Nissan sentra S Sedan 4D,"Dayton, KY",144K miles,"$5,000",2016,2024-07-01
 Kia optima EX Sedan 4D,"Alexandria, KY",170K miles,"$7,900",2015,2024-07-01
 Hyundai elantra Coupe 2D,"Columbus, OH",134K miles,"$4,500",2014,2024-07-01
 Volkswagen passat Wolfsburg Edition Sedan 4D,"Cincinnati, OH",112K miles,"$3,495",2013,2024-07-01
 Kia rio EX Sedan 4D,"Covington, KY",143K miles,"$3,500",2015,2024-07-01
 Honda civic,"Covington, KY",130K miles,"$6,800",2012,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",113K miles,"$6,300",2013,2024-07-01
 Nissan versa SV Sedan 4D,"Cincinnati, OH",143K miles,"$4,550",2015,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Mason, OH",140K miles,"$6,199",2016,2024-07-01
 Hyundai sonata Limited Sedan 4D,"Florence, KY",83K miles,"$4,800",2011,2024-07-01
 Hyundai elantra SE Sedan 4D,"Cincinnati, OH",150K miles,"$3,999",2010,2024-07-01
 Mazda mazda3 s Grand Touring Sedan 4D,"Cincinnati, OH",145K miles,"$6,000",2012,2024-07-01
 Honda accord ex-l,"Covington, KY",155K miles,"$6,900",2009,2024-07-01
 Honda accord ex-l v6,"Lexington, KY",45K miles,"$8,850",2010,2024-07-01
 Nissan leaf S-24 Hatchback 4D,"Fort Thomas, KY",26K miles,"$6,000",2016,2024-07-01
 Mitsubishi mirage g4 ES Sedan 4D,"Cincinnati, OH",113K miles,"$4,000",2017,2024-07-01
 Scion Hatchback Coupe 2D,"Covington, KY",113K miles,"$7,200",2014,2024-07-01
 Honda accord se,"Covington, KY",159K miles,"$5,950",2011,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",75K miles,"$16,000",2020,2024-07-01
 Toyota camry   !!!down payment!!!,"Cincinnati, OH",131K miles,"$3,500",2017,2024-07-01
 Nissan altima 2.5 Sedan 4D,"Fort Thomas, KY",159K miles,"$5,000",2012,2024-07-01
 Hyundai sonata Limited Sedan 4D,"Cincinnati, OH",147K miles,"$4,200",2011,2024-07-01
 Honda accord EX-L Sedan 4D,"Cincinnati, OH",140K miles,"$5,990",2011,2024-07-01
 Nissan altima 2.5l l4 fwd,"Cincinnati, OH",82K miles,"$11,993",2018,2024-07-01
 Hyundai elantra,"Cincinnati, OH",136K miles,"$1,500",2016,2024-07-01
 Toyota prius ii,"Covington, KY",182K miles,"$6,950",2012,2024-07-01
 Kia forte EX Sedan 4D,"Cincinnati, OH",142K miles,"$4,900",2014,2024-07-01
 Chevrolet cruze LS Sedan 4D,"Florence, KY",137K miles,"$4,000",2013,2024-07-01
 Hyundai elantra,"Cincinnati, OH",77K miles,"$1,000",2017,2024-07-01
 Chevrolet cruze LT Sedan 4D,"Cincinnati, OH",95K miles,"$7,200",2017,2024-07-01
 Honda civic,"Lebanon, OH",109K miles,"$6,450",2007,2024-07-01
 Toyota camry SE Sedan 4D,"Florence, KY",168K miles,"$5,500",2007,2024-07-01
 Honda accord EX,"Cincinnati, OH",130K miles,"$12,875",2019,2024-07-01
 Honda accord Sport Sedan 4D,"Fairfield, OH",147K miles,"$9,500",2017,2024-07-01
 Toyota camry SE Sedan 4D,"Latonia, KY",148K miles,"$6,000",2009,2024-07-01
 Toyota camry Sedan 4D,"Mason, OH",180K miles,"$4,100",2009,2024-07-01
 Toyota camry LE Sedan 4D,"Cincinnati, OH",160K miles,"$5,000",2010,2024-07-01
 Hyundai elantra GT Hatchback 4D,"Cincinnati, OH",180K miles · Dealership,"$3,999",2014,2024-07-01
 Volkswagen 2.0 convertable,"Cincinnati, OH",103K miles,"$12,995",2013,2024-07-01
 Honda civic Sport,"Cincinnati, OH",10K miles,"$1,234",2024,2024-07-01
 Mazda mazda3 s Touring Sedan 4D,"Newport, KY",181K miles,"$3,600",2007,2024-07-01
 Nissan altima 3.5 SR Sedan 4D,"Cincinnati, OH",125K miles,"$5,400",2012,2024-07-01
 Kia rio EX Sedan 4D,"West Chester, OH",144K miles,"$3,500",2015,2024-07-01
 Toyota camry XLE Sedan 4D,"Fort Mitchell, KY",204K miles,"$2,500",2004,2024-07-01
 Nissan altima !!!down payment!!!,"Cincinnati, OH",105K miles,"$4,000",2019,2024-07-01
 Toyota corolla,"Cincinnati, OH",90K miles,"$6,800",2006,2024-07-01
 Hyundai sonata SE Sedan 4D,"Bellevue, KY",86K miles,"$1,800",2015,2024-07-01
 Volkswagen new beetle SE Convertible 2D,"Cincinnati, OH",141K miles,"$9,000",2008,2024-07-01
 Hyundai elantra SE Sedan 4D,"Cincinnati, OH",66K miles,"$7,800",2015,2024-07-01
 Hyundai sonata SE Sedan 4D,"Monroe, OH",110K miles,"$6,800",2015,2024-07-01
 Hyundai elantra SE Sedan 4D,"Cincinnati, OH",105K miles,"$5,500",2014,2024-07-01
 Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",113K miles,"$4,999",2013,2024-07-01
 Hyundai elantra SEL Sedan 4D,"Milford, OH",118K miles,"$9,900",2019,2024-07-01
 Mazda mazda6 Touring,"Cincinnati, OH",103K miles,"$9,000",2014,2024-07-01
 Hyundai elantra,"Florence, KY",58K miles,"$10,000",2017,2024-07-01
 Hyundai elantra,"Cincinnati, OH",94K miles,"$6,000",2013,2024-07-01
 Hyundai elantra SE Sedan 4D,"Cincinnati, OH",172K miles · Dealership,"$5,995",2017,2024-07-01
 Mazda mazda3 i Grand Touring Sedan 4D,"Cincinnati, OH",99K miles,"$5,700",2012,2024-07-01
 Mazda mazda3 i Sport Hatchback 4D,"Cincinnati, OH",98K miles,"$7,800",2016,2024-07-01
 Honda civic LX Sedan 4D,"Mason, OH",80K miles,"$12,000",2015,2024-07-01
 Kia forte LXS Sedan 4D,"Covington, KY",130K miles,"$8,900",2019,2024-07-01
 Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",132K miles,"$5,299",2013,2024-07-01
 Nissan sentra S Sedan 4D,"Cincinnati, OH",132K miles,"$6,000",2017,2024-07-01
 Nissan sentra SV Sedan 4D,"Cincinnati, OH",94K miles,"$5,500",2016,2024-07-01
 Hyundai accent,"Cincinnati, OH",106K miles,"$5,250",2014,2024-07-01
 Hyundai elantra SE Sedan 4D,"Springfield, OH",92K miles,"$5,500",2016,2024-07-01
 Nissan sentra SV Sedan 4D,"Shelbyville, KY",72K miles,"$6,900",2013,2024-07-01
 Honda civic LX Sedan 4D,"Fairfield, OH",53K miles,"$9,500",2015,2024-07-01
 Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",123K miles,"$4,290",2013,2024-07-01
 Toyota camry SE Sedan 4D,"Cincinnati, OH",117K miles,"$8,950",2015,2024-07-01
 Hyundai elantra SEL Sedan 4D,"Cincinnati, OH",53K miles,"$18,000",2021,2024-07-01
 Hyundai elantra Limited Sedan 4D,"Cincinnati, OH",153K miles,"$4,995",2013,2024-07-01
 Hyundai sonata,"Lexington, KY",93K miles · Dealership,"$6,995",2014,2024-07-01
 Toyota camry SE Sedan 4D,"Cincinnati, OH",122K miles,"$2,000",2016,2024-07-01
 Nissan versa SL Sedan 4D,"Walton, KY",89K miles,"$6,200",2015,2024-07-01
 Kia optima LX Sedan 4D,"Dayton, OH",75K miles,"$7,400",2017,2024-07-01
 Hyundai elantra GLS Sedan 4D,"Covington, KY",171K miles,"$3,500",2013,2024-07-01
 Kia optima SX Sedan 4D,"Cincinnati, OH",81K miles,"$7,000",2012,2024-07-01
 Hyundai sonata hybrid 2.4 l4 fwd,"Cincinnati, OH",107K miles,"$8,993",2013,2024-07-01
 Toyota camry SE Sedan 4D,"Shelbyville, KY",148K miles,"$7,900",2010,2024-07-01
 Kia optima FE,"Dayton, OH",109K miles,"$7,000",2019,2024-07-01
 Kia forte LX Sedan 4D,"Cincinnati, OH",101K miles · Dealership,"$4,500",2016,2024-07-01
 Hyundai sonata GLS Sedan 4D,"Cincinnati, OH",133K miles,"$4,680",2011,2024-07-01
 Honda accord,"Lebanon, OH",100K miles,"$8,450",2012,2024-07-01
 Hyundai elantra,"Cincinnati, OH",136K miles,"$1,500",2016,2024-07-01
 Toyota camry XLE Sedan 4D,"Middletown, OH",72K miles,"$4,900",2004,2024-07-01
 Ford fusion SE Sedan 4D,"Covington, KY",140K miles,"$5,600",2013,2024-07-01
 Honda accord EX Coupe 2D,"Cincinnati, OH",78K miles,"$13,000",2017,2024-07-01
 Kia optima EX Sedan 4D,"Alexandria, KY",174K miles,"$3,750",2012,2024-07-01
 Kia optima EX Sedan 4D,"Cincinnati, OH",174K miles,"$7,500",2015,2024-07-01
 Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",150K miles,"$2,595",2014,2024-07-01
 Kia optima SX Sedan 4D,"Cincinnati, OH",141K miles,"$5,999",2012,2024-07-01
 Nissan sentra S Sedan 4D,"West Harrison, IN",127K miles,"$5,700",2012,2024-07-01
 Nissan altima 2.5 SV Sedan 4D,"Cincinnati, OH",154K miles · Dealership,"$5,850",2015,2024-07-01
 Scion ia Sedan 4D,"Hope, IN",89K miles,"$1,800",2016,2024-07-01
 Chevrolet spark 2LT Hatchback 4D,"Alexandria, KY",93K miles,"$6,500",2016,2024-07-01
 Nissan altima 2.5 SL Sedan 4D,"Cincinnati, OH",138K miles,"$4,850",2011,2024-07-01
 Ford fusion SE Sedan 4D,"Cincinnati, OH",74K miles · Dealership,"$5,995",2010,2024-07-01
 Nissan sentra SL,"Cincinnati, OH",170K miles,"$3,330",2015,2024-07-01
 Ford fusion SEL Sedan 4D,"Cincinnati, OH",119K miles,"$4,995",2012,2024-07-01
 Ford fusion SE Sedan 4D,"West Chester, OH",149K miles,"$5,500",2015,2024-07-01
 Chevrolet sonic LT Sedan 4D,"Middletown, OH",88K miles,"$4,950",2015,2024-07-01
 Volkswagen jetta 2.0L Base Sedan 4D,"Cincinnati, OH",137K miles,"$1,234",2014,2024-07-01
 Jetta volkswagen sport,"Cincinnati, OH",159K miles,"$4,500",2011,2024-07-01
 Kia optima LX Sedan 4D,"Lexington, KY",155K miles,"$5,500",2014,2024-07-01
 Hyundai sonata,"Cincinnati, OH",81K miles,"$1,500",2015,2024-07-01
 Honda accord LX Sedan 4D,"Cincinnati, OH",26K miles,"$17,950",2020,2024-07-01
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Fort Mitchell, KY",120K miles,"$5,800",2011,2024-07-01
 Nissan versa S Sedan 4D,"Fort Mitchell, KY",159K miles,"$2,700",2010,2024-07-01
 Ford focus SE Sedan 4D,"Fairfield, OH",72K miles,"$4,850",2013,2024-07-01
 Audi a8 Quattro Sedan 4D,"Covington, KY",95K miles,"$7,900",2008,2024-07-01
 Toyota prius,"Erlanger, KY",159K miles,"$5,900",2010,2024-07-01
 Mazda mazda2 Touring Hatchback 4D,"Fairfield, OH",153K miles,"$4,050",2011,2024-07-01
 Volkswagen cc Sport Plus Sedan 4D,"Dry Ridge, KY",189K miles,"$3,800",2013,2024-07-01
 Lexus ES 350 Sedan 4D,"Maineville, OH",266K miles,"$10,000",2016,2024-07-01
 Chrysler 200C Sedan 4D,"Lexington, KY",28K miles,"$14,000",2015,2024-07-01
 Acura tl Special Edition Sedan 4D,"Cincinnati, OH",145K miles,"$5,500",2013,2024-07-01
 Volkswagen jetta Wolfsburg Edition Sedan 4D,"Alexandria, KY",113K miles,"$2,600",2008,2024-07-01
 Chevrolet cruze limited 1LT Sedan 4D,"Dayton, OH",55K miles,"$6,200",2016,2024-07-01
 Volkswagen new beetle 2.5 Convertible 2D,"Cincinnati, OH",162K miles,"$4,000",2006,2024-07-01
 Nissan altima sr (down-payment),"Cincinnati, OH",300 miles,"$2,000",2024,2024-07-01
 Hyundai sonata Sedan 4D,"Trenton, OH",120K miles,"$5,500",2016,2024-07-01
 Kia forte LXS Sedan 4D,"Lexington, KY",86K miles,"$9,000",2019,2024-07-01
 Nissan sentra S Sedan 4D,"Frankfort, KY",178K miles,"$6,000",2019,2024-07-01
 Honda accord,"Erlanger, KY",116K miles,"$7,000",2012,2024-07-01
