Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra SE Sedan 4D,2017,44K miles,"Burbank, IL","$7,400",https://www.facebook.com//marketplace/item/1012426627150516/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota corolla LE Sedan 4D,2011,185K miles,"Des Plaines, IL","$5,500",https://www.facebook.com//marketplace/item/1022003359629260/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2003,190K miles,"Skokie, IL","$2,000",https://www.facebook.com//marketplace/item/306859149083222/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2004,121K miles,"Harwood Heights, IL","$3,250",https://www.facebook.com//marketplace/item/276496042220383/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai accent SEL Sedan 4D,2021,48K miles,"Chicago, IL","$8,995",https://www.facebook.com//marketplace/item/356196594164780/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Mazda mazda3 i Touring Sedan 4D,2013,138K miles,"Chicago, IL","$4,600",https://www.facebook.com//marketplace/item/458325300152947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai elantra Limited Sedan 4D,2014,130K miles,"Chicago, IL","$5,900",https://www.facebook.com//marketplace/item/361432316717142/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2003,148K miles,"Chicago, IL","$2,500",https://www.facebook.com//marketplace/item/7742817415809772/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2011,204K miles,"Chicago, IL","$6,700",https://www.facebook.com//marketplace/item/1839420936554801/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen jetta sportwagen 2.0L TDI Sport Wagon 4D,2014,115K miles,"Downers Grove, IL","$6,750",https://www.facebook.com//marketplace/item/458185626825245/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2007,175K miles,"Harwood Heights, IL","$5,200",https://www.facebook.com//marketplace/item/484424484074629/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen jetta,2014,122K miles,"Orland Park, IL","$5,500",https://www.facebook.com//marketplace/item/7718211351568069/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai accent GLS Sedan 4D,2013,133K miles,"Chicago, IL","$2,950",https://www.facebook.com//marketplace/item/1398393907518024/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2005,200K miles,"Chicago, IL","$2,700",https://www.facebook.com//marketplace/item/1201000614477959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2019,244K miles,"Chicago, IL","$13,000",https://www.facebook.com//marketplace/item/808145588111884/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Jeep compass Latitude Sport Utility 4D,2017,110K miles,"Des Plaines, IL","$5,600",https://www.facebook.com//marketplace/item/1000363701351406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.0L S Sedan 4D,2015,101K miles,"La Grange, IL","$2,000",https://www.facebook.com//marketplace/item/442031358672006/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Kia rio LX Sedan 4D,2013,30K miles,"Chicago, IL","$7,200",https://www.facebook.com//marketplace/item/921968863095583/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Chevrolet malibu Premier Sedan 4D,2017,67K miles,"Chicago, IL","$10,800",https://www.facebook.com//marketplace/item/498855762487238/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen passat 1.8T Limited Edition Sedan 4D,2015,90K miles,"Cicero, IL","$7,700",https://www.facebook.com//marketplace/item/7021543761281425/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX Sedan 4D,2013,95K miles,"Chicago, IL","$7,500",https://www.facebook.com//marketplace/item/324559230724717/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai elantra SE Sedan 4D,2017,190K miles,"Chicago, IL","$4,300",https://www.facebook.com//marketplace/item/2204609046572261/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai santa fe sport Sport Utility 4D,2015,71K miles,"Burbank, IL","$8,900",https://www.facebook.com//marketplace/item/360168397104234/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan sentra SV Sedan 4D,2016,81K miles,"Harvey, IL","$5,000",https://www.facebook.com//marketplace/item/7786526444762214/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai elantra SE Sedan 4D,2010,138K miles,"Chicago, IL","$3,500",https://www.facebook.com//marketplace/item/8183964788307456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry,2011,120K miles,"Chicago, IL","$1,500",https://www.facebook.com//marketplace/item/1945828592554450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 1.8T SE Sedan 4D,2014,194K miles,"Skokie, IL","$3,000",https://www.facebook.com//marketplace/item/865024438979195/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Grand Touring Sedan 4D,2010,14K miles,"Chicago, IL","$4,200",https://www.facebook.com//marketplace/item/1181915463256159/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 SL Sedan 4D,2019,152K miles,"Chicago, IL","$8,200",https://www.facebook.com//marketplace/item/7845614168885576/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2009,99K miles,"Chicago, IL","$3,500",https://www.facebook.com//marketplace/item/1131893404537970/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2017,86K miles,"Chicago, IL","$11,900",https://www.facebook.com//marketplace/item/3467747556850663/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord,2007,138K miles,"Chicago, IL","$4,400",https://www.facebook.com//marketplace/item/444610445144607/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Hyundai accent GLS Sedan 4D,2007,168K miles,"Alsip, IL","$2,300",https://www.facebook.com//marketplace/item/409116174834446/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2018,80K miles,"Chicago, IL","$12,900",https://www.facebook.com//marketplace/item/980849527169783/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Nissan sentra Negra,2017,150K miles,"Chicago, IL","$5,200",https://www.facebook.com//marketplace/item/1270734880967812/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX Sedan 4D,2010,165K miles,"Maywood, IL","$5,899",https://www.facebook.com//marketplace/item/491094363494380/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2007,178K miles,"Chicago, IL","$3,700",https://www.facebook.com//marketplace/item/998817442036872/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2002,1.9K miles,"Chicago, IL",$28,https://www.facebook.com//marketplace/item/847369766764085/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry,2006,200K miles,"Chicago, IL","$3,000",https://www.facebook.com//marketplace/item/1158038208810709/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2005,200K miles,"Chicago, IL","$2,800",https://www.facebook.com//marketplace/item/836441217901143/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2016,86K miles,"Chicago, IL","$12,000",https://www.facebook.com//marketplace/item/1337759424278190/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2003,128K miles,"Orland Park, IL","$4,200",https://www.facebook.com//marketplace/item/851175096884679/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A3ff5de07-72e2-4a23-866e-a632880b3fbd&__tn__=!%3AD,2024-07-10
