Model,Year,Miles,Location,Prices,Link,Scraped_On
 Toyota camry LE Sedan 4D,2017,79K miles,"Cincinnati, OH","$13,500",https://www.facebook.com//marketplace/item/849204949875598/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda mazda6 Touring,2014,103K miles,"Cincinnati, OH","$9,000",https://www.facebook.com//marketplace/item/1886928771721324/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Grand Touring Sedan 4D,2012,198K miles,"Cincinnati, OH","$2,300",https://www.facebook.com//marketplace/item/7697104893659305/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda mazda3 i Touring Sedan 4D,2012,133K miles · Dealership,"Amelia, OH","$5,499",https://www.facebook.com//marketplace/item/1193698368329198/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda rx-8,2009,105K miles,"Covington, KY","$4,500",https://www.facebook.com//marketplace/item/1425991878072270/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Kia rio Sedan 4D,2005,52K miles,"Franklin, OH","$3,700",https://www.facebook.com//marketplace/item/1634392977405943/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen passat SE Sedan 4D,2021,88K miles,"Cincinnati, OH","$14,999",https://www.facebook.com//marketplace/item/452508747595343/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2016,72K miles,"Loveland, OH","$4,300",https://www.facebook.com//marketplace/item/873836418120474/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2011,105K miles,"Cincinnati, OH","$3,900",https://www.facebook.com//marketplace/item/389139410382677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry SE Nightshade Edition Sedan 4D,2020,42K miles,"Batavia, OH","$24,799",https://www.facebook.com//marketplace/item/3836295439951969/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.0L Sedan 4D,2013,92K miles,"Cincinnati, OH","$3,995",https://www.facebook.com//marketplace/item/1470971147139018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic EX-L Sedan 4D,2016,112K miles,"Fairfield, OH","$15,900",https://www.facebook.com//marketplace/item/312949561855953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Chrysler 200 Touring Sedan 4D,2013,130K miles,"Cincinnati, OH","$3,300",https://www.facebook.com//marketplace/item/793179319550673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2011,1.5K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/913248610111916/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Nissan versa SV Sedan 4D,2016,100K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/1468102077411591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen passat 1.8T S Sedan 4D,2014,160K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/2797800350385367/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2023,25K miles,"Cincinnati, OH","$26,000",https://www.facebook.com//marketplace/item/318779907859818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic Sport Sedan 4D,2020,86K miles,"Milford, OH","$7,900",https://www.facebook.com//marketplace/item/456832023947846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
