Model,Year,Miles,Location,Prices,Link,Scraped_On
 Nissan altima 2.5 S Sedan 4D,2015,125K miles,"West Chester, OH","$5,800",https://www.facebook.com//marketplace/item/358208397296550/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Touring Sedan 4D,2016,197K miles,"South Lebanon, OH","$5,500",https://www.facebook.com//marketplace/item/793171526269311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry CE Sedan 4D,1999,96K miles · Dealership,"Franklin, OH","$3,999",https://www.facebook.com//marketplace/item/1500158697243368/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Touring Sedan 4D,2012,159K miles,"West Chester, OH","$4,850",https://www.facebook.com//marketplace/item/873552221283577/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai accent GLS Sedan 4D,2014,77K miles,"Loveland, OH","$5,200",https://www.facebook.com//marketplace/item/1527058511238921/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai elantra Limited Sedan 4D,2013,180K miles,"Hamilton, OH","$4,500",https://www.facebook.com//marketplace/item/1126328208440267/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2004,71K miles,"Middletown, OH","$4,950",https://www.facebook.com//marketplace/item/7984972164874610/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen passat 1.8T SE Sedan 4D,2016,192K miles,"Loveland, OH","$6,300",https://www.facebook.com//marketplace/item/997320365056598/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2007,101K miles,"West Chester, OH","$7,999",https://www.facebook.com//marketplace/item/362797346525753/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2009,172K miles,"Springboro, OH","$6,750",https://www.facebook.com//marketplace/item/501701882257615/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
