Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra Eco Sedan 4D,2017,135K miles,"Lafayette, IN","$5,799",https://www.facebook.com//marketplace/item/836661055047182/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai sonata SE Sedan 4D,2016,104K miles,"Lafayette, IN","$10,000",https://www.facebook.com//marketplace/item/768036958563172/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen passat TDI SE Sedan 4D,2012,158K miles,"Lafayette, IN","$4,900",https://www.facebook.com//marketplace/item/469258475830294/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda cx-5 Grand Touring Sport Utility 4D,2020,94K miles,"West Lafayette, IN","$17,500",https://www.facebook.com//marketplace/item/830300118551591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda accord LX Sedan 4D,2015,111K miles,"West Lafayette, IN","$9,500",https://www.facebook.com//marketplace/item/877123424058686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2004,180K miles,"West Lafayette, IN","$4,000",https://www.facebook.com//marketplace/item/488479520209966/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda cx-5 Sport SUV 4D,2015,78K miles,"West Lafayette, IN","$12,750",https://www.facebook.com//marketplace/item/2752865014891478/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda MAZDA3,2019,75K miles,"Lafayette, IN","$15,000",https://www.facebook.com//marketplace/item/977543940819552/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda accord LX Sedan 4D,2015,110K miles,"West Lafayette, IN","$9,500",https://www.facebook.com//marketplace/item/1015634572833737/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry SE,2019,143K miles,"West Lafayette, IN","$15,999",https://www.facebook.com//marketplace/item/1842322902915862/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda mazda3 Premium Plus Sedan 4D,2018,129K miles,"Lafayette, IN","$9,000",https://www.facebook.com//marketplace/item/488099273733484/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai sonata Eco Sedan 4D,2015,78K miles,"Frankfort, IN","$8,000",https://www.facebook.com//marketplace/item/460005123336520/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai tucson Limited Sport Utility 4D,2012,49K miles,"Lafayette, IN","$11,999",https://www.facebook.com//marketplace/item/1397602490809133/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota matrix XR Sport Wagon 4D,2007,95K miles,"Brownsburg, IN","$5,500",https://www.facebook.com//marketplace/item/415484764134785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2012,164K miles,"West Lafayette, IN","$9,999",https://www.facebook.com//marketplace/item/1193636841830599/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai elantra GT Hatchback 4D,2013,133K miles,"Lafayette, IN","$6,600",https://www.facebook.com//marketplace/item/450108470738039/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry le,2002,174K miles,"West Lafayette, IN","NT$3,000",https://www.facebook.com//marketplace/item/795376612574935/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai elantra SE Sedan 4D,2014,102K miles,"Lafayette, IN","$8,500",https://www.facebook.com//marketplace/item/759106225964225/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2009,280K miles,"Lafayette, IN","$5,265",https://www.facebook.com//marketplace/item/1208104983932599/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen passat Komfort Sedan 4D,2008,200K miles,"Lafayette, IN","$4,000",https://www.facebook.com//marketplace/item/8131488246861718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford focus SEL Hatchback 4D,2012,140K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/341485185676769/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai elantra Touring GLS Wagon 4D,2010,153K miles,"Carmel, IN","$3,600",https://www.facebook.com//marketplace/item/1532486311014836/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen jetta sportwagen 2.5L S Sport Wagon 4D,2013,100K miles,"Shelbyville, IN","$4,500",https://www.facebook.com//marketplace/item/1196594178019210/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Kia forte EX Sedan 4D,2019,63K miles,"Lafayette, IN","$9,500",https://www.facebook.com//marketplace/item/363890676637206/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai sonata SE Sedan 4D,2015,197K miles,"West Lafayette, IN","$3,300",https://www.facebook.com//marketplace/item/798790611920445/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda mazda3 Preferred Hatchback 4D,2020,95K miles,"Lafayette, IN","$14,000",https://www.facebook.com//marketplace/item/503029605494217/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Dodge dart rallye,2013,150K miles,"West Lafayette, IN","$6,250",https://www.facebook.com//marketplace/item/1475411303067834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2005,138K miles,"West Lafayette, IN","$1,750",https://www.facebook.com//marketplace/item/497295959436008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2015,121K miles,"Frankfort, IN","$8,100",https://www.facebook.com//marketplace/item/1468091920738333/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda mazda6 i Touring Sedan 4D,2014,133K miles,"Lafayette, IN","$7,650",https://www.facebook.com//marketplace/item/735058701742919/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Nissan sentra SV Sedan 4D,2017,160K miles,"West Lafayette, IN","$4,800",https://www.facebook.com//marketplace/item/469383802352793/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda mazda3,2007,198K miles,"Lafayette, IN","$2,200",https://www.facebook.com//marketplace/item/817516253650913/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota 2015 toyota camry le,2015,130K miles,"Lafayette, IN","$11,800",https://www.facebook.com//marketplace/item/469197399063542/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5i Premium Sedan 4D,2011,124K miles,"Lafayette, IN","$6,500",https://www.facebook.com//marketplace/item/839861871370021/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Nissan altima,2017,80K miles,"Lafayette, IN","$8,300",https://www.facebook.com//marketplace/item/1110598320049776/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2015,121K miles,"Frankfort, IN","$8,100",https://www.facebook.com//marketplace/item/487699053720055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5i Premium Sedan 4D,2018,83K miles,"West Lafayette, IN","$10,500",https://www.facebook.com//marketplace/item/1477890936434631/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai sonata SEL Sedan 4D,2021,34K miles,"Lafayette, IN","$19,500",https://www.facebook.com//marketplace/item/1148902229492519/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 BMW 5 series 528i xDrive Sedan 4D,2012,125K miles,"Lafayette, IN","$7,895",https://www.facebook.com//marketplace/item/1130663381323557/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Buick Encore,2019,61K miles,"Lafayette, IN","$9,800",https://www.facebook.com//marketplace/item/835431471868284/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda cr-v,2014,2.2K miles,"Lafayette, IN","$8,500",https://www.facebook.com//marketplace/item/1205750520778472/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 1.8T SE Sedan 4D,2014,132K miles,"Indianapolis, IN","$4,800",https://www.facebook.com//marketplace/item/973921567724824/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen tiguan SE 4Motion Sport Utility 4D,2011,94K miles · Dealership,"Thorntown, IN","$5,995",https://www.facebook.com//marketplace/item/785313437149447/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai accent GLS Sedan 4D,2008,126K miles,"Indianapolis, IN","$2,800",https://www.facebook.com//marketplace/item/1539338226674812/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 S (2017.5) Sedan 4D,2017,970K miles,"Frankfort, IN","$9,500",https://www.facebook.com//marketplace/item/1631358744377133/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda civic LX,2016,186K miles,"Lafayette, IN","$8,900",https://www.facebook.com//marketplace/item/1417086788991521/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Jaguar x-type 3.0L Sedan 4D,2003,73K miles,"Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/993540775653536/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda civic 2008,2008,,"Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/1873252276421311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mercedes-Benz slk-class SLK 280 Roadster 2D,2006,94K miles,"Lafayette, IN","$5,900",https://www.facebook.com//marketplace/item/1955675404891849/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Lexus IS 350 Sedan 4D,2007,144K miles,"Lafayette, IN","$7,500",https://www.facebook.com//marketplace/item/444710948435226/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen gli 2.0T Sedan 4D,2008,187K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/371745642060733/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford fusion Sedan,2010,176K miles,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/457837257098675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda civic LX,2018,56K miles · Dealership,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/1186717039244455/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Audi a4 Premium Plus Sedan 4D,2015,65K miles,"Lafayette, IN","$14,000",https://www.facebook.com//marketplace/item/968508008345430/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford fiesta SE Sedan 4D,2012,150K miles,"Lafayette, IN","$2,800",https://www.facebook.com//marketplace/item/440701942118958/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford fusion SE Sedan 4D,2010,152K miles · Dealership,"Crawfordsville, IN","$3,800",https://www.facebook.com//marketplace/item/831618442364110/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen passat 2.0T Sedan 4D,2007,30K miles,"Lafayette, IN","$1,234",https://www.facebook.com//marketplace/item/288190364316303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Nissan versa,2015,150K miles,"West Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/475746332072306/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Chevrolet malibu LT Sedan 4D,2016,65K miles,"Indianapolis, IN","$8,999",https://www.facebook.com//marketplace/item/1706017180250792/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry XLE Sedan 4D,2007,123K miles,"Frankfort, IN","$7,000",https://www.facebook.com//marketplace/item/464769099840620/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mercedes-Benz m-class ML 350 Sport Utility 4D,2008,194K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/3320124588289574/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Audi a3 2.0T Wagon 4D,2007,135K miles,"Crawfordsville, IN","$3,900",https://www.facebook.com//marketplace/item/1440049929960389/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,2011,114K miles,"Lafayette, IN","$9,000",https://www.facebook.com//marketplace/item/1179777666557275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 MINI clubman Cooper S Hatchback 4D,2016,108K miles,"Lafayette, IN","$10,000",https://www.facebook.com//marketplace/item/1182603579415097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford focus S Sedan 4D,2008,142K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/1025971148366586/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Hyundai santa fe GLS Sport Utility 4D,2005,150K miles,"Lafayette, IN","$2,500",https://www.facebook.com//marketplace/item/1606407120214190/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Nissan rogue SV Sport Utility 4D,2014,118K miles,"Romney, IN","$6,900",https://www.facebook.com//marketplace/item/1590112041547694/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mazda rx-8 Sport,2004,81K miles,"Lafayette, IN","$5,235",https://www.facebook.com//marketplace/item/1843553282737848/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford flex SEL Sport Utility 4D,2009,195K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/765046978873219/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota highlander sport 2wd 2.4 great mpg!,2004,155K miles,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/468982632414331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
