Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra SEL Sedan 4D,2019,118K miles,"Milford, OH","$9,900",https://www.facebook.com//marketplace/item/1859276584497656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2015,66K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/1128298298452675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry L Sedan 4D,2012,113K miles,"Dayton, OH","$7,200",https://www.facebook.com//marketplace/item/1675453823292603/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2015,125K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/301988199576040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai accent SE Sedan 4D,2017,100K miles,"Cincinnati, OH","$3,975",https://www.facebook.com//marketplace/item/3604800293184037/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda3 i SV Sedan 4D,2013,123K miles,"Lexington, KY","$6,000",https://www.facebook.com//marketplace/item/451696161149264/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan sentra SR,2015,127K miles,"Cincinnati, OH","$10,000",https://www.facebook.com//marketplace/item/497165555986984/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry XLE Sedan 4D,2015,200K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/1464461690875379/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2014,114K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/1442459546394990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 S Sedan 4D,2018,50K miles,"Cincinnati, OH","$8,878",https://www.facebook.com//marketplace/item/730089605158617/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan sentra S Sedan 4D,2017,132K miles,"Cincinnati, OH","$6,000",https://www.facebook.com//marketplace/item/313264328261481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda3 i Sport Hatchback 4D,2016,98K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/1126222451935682/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SL Sedan 4D,2015,71K miles,"Hebron, KY","$8,800",https://www.facebook.com//marketplace/item/987773242758760/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima,2018,88K miles,"Cincinnati, OH","$9,999",https://www.facebook.com//marketplace/item/1154299479182442/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2016,122K miles,"Cincinnati, OH","$2,000",https://www.facebook.com//marketplace/item/1750982738763888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda6 Touring,2014,103K miles,"Cincinnati, OH","$9,000",https://www.facebook.com//marketplace/item/1886928771721324/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen jetta 1.8T Sport Sedan 4D,2015,138K miles,"Fort Mitchell, KY","$4,500",https://www.facebook.com//marketplace/item/994449105386934/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 S Sedan 4D,2016,140K miles,"Mason, OH","$6,199",https://www.facebook.com//marketplace/item/1151747569385822/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota corolla LE Eco Sedan 4D,2018,152K miles,"Cincinnati, OH","$8,500",https://www.facebook.com//marketplace/item/1003345118240857/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2016,65K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/477719381299170/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra GLS Sedan 4D,2013,113K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/1127175635051621/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima,2018,68K miles,"Dayton, OH","$7,600",https://www.facebook.com//marketplace/item/780017844298335/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai sonata SE Sedan 4D,2015,110K miles,"Monroe, OH","$6,800",https://www.facebook.com//marketplace/item/958537026012041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai Sonata,2017,59K miles,"Dayton, OH","$6,775",https://www.facebook.com//marketplace/item/1560148264565142/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
