Model,Year,Miles,Location,Prices,Link,Scraped_On
 Toyota camry SE Sport Sedan 4D,2014,107K miles,"Cincinnati, OH","$7,950",https://www.facebook.com//marketplace/item/1879507869228584/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra SE Sedan 4D,2016,65K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/477719381299170/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic LX Sedan 4D,2015,80K miles,"Mason, OH","$12,000",https://www.facebook.com//marketplace/item/442286712099902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan altima 2.5 S Sedan 4D,2016,140K miles,"Mason, OH","$6,199",https://www.facebook.com//marketplace/item/1151747569385822/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai accent GLS Sedan 4D,2014,77K miles,"Loveland, OH","$6,200",https://www.facebook.com//marketplace/item/1527058511238921/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra SE Sedan 4D,2014,113K miles,"Jamestown, OH","$5,000",https://www.facebook.com//marketplace/item/2130856793959797/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry L Sedan 4D,2012,113K miles,"Dayton, OH","$7,200",https://www.facebook.com//marketplace/item/1675453823292603/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry XLE Sedan 4D,2007,101K miles,"West Chester, OH","$7,999",https://www.facebook.com//marketplace/item/362797346525753/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Mazda mazda3,2014,97K miles,"West Chester, OH","$9,495",https://www.facebook.com//marketplace/item/1712261849577995/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai accent SE Sedan 4D,2017,100K miles,"Cincinnati, OH","$3,975",https://www.facebook.com//marketplace/item/3604800293184037/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen jetta 2.0L S Sedan 4D,2013,100K miles,"Mason, OH","$10,000",https://www.facebook.com//marketplace/item/180001835180773/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry LE Sedan 4D,2011,219K miles,"Mason, OH","$6,099",https://www.facebook.com//marketplace/item/1192563595418274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry SE Sedan 4D,2016,122K miles,"Cincinnati, OH","$2,000",https://www.facebook.com//marketplace/item/1750982738763888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Mazda mazda3,2013,132K miles,"Cincinnati, OH","$2,500",https://www.facebook.com//marketplace/item/365950756198217/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Subaru impreza 2.0i Premium Sedan 4D,2015,130K miles,"Milford, OH","$4,500",https://www.facebook.com//marketplace/item/504400038675413/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
