Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra Limited Sedan 4D,2014,110K miles,"Dayton, OH","$4,500",https://www.facebook.com//marketplace/item/1266508364318545/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota camry L Sedan 4D,2012,113K miles,"Dayton, OH","$7,200",https://www.facebook.com//marketplace/item/1675453823292603/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen jetta 1.4T SE Sedan 4D,2019,129K miles,"Lexington, KY","$5,995",https://www.facebook.com//marketplace/item/809591921238790/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai accent GLS Sedan 4D,2014,77K miles,"Loveland, OH","$5,200",https://www.facebook.com//marketplace/item/1527058511238921/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai accent GLS Sedan 4D,2015,158K miles,"Lebanon, OH","$4,500",https://www.facebook.com//marketplace/item/481553407596758/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2015,66K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/1128298298452675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan altima 2.5 S Sedan 4D,2018,50K miles,"Cincinnati, OH","$8,878",https://www.facebook.com//marketplace/item/730089605158617/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2014,112K miles,"Cincinnati, OH","$2,398",https://www.facebook.com//marketplace/item/493730049899532/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra,2017,58K miles,"Florence, KY","$10,000",https://www.facebook.com//marketplace/item/878291567455902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan versa SV Sedan 4D,2016,100K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/1468102077411591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
