Model,Year,Miles,Location,Prices,Link,Scraped_On
 Mazda mazda3 i Grand Touring Sedan 4D,2014,107K miles,"Windsor, CT","$6,200",https://www.facebook.com//marketplace/item/1223106608865147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 S Sedan 4D,2015,74K miles,"Hartford, CT","$7,500",https://www.facebook.com//marketplace/item/1665548074207569/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2011,79K miles,"West Hartford, CT","$9,500",https://www.facebook.com//marketplace/item/952145553323507/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SR Sedan 4D,2019,27K miles,"Springfield, MA","$7,500",https://www.facebook.com//marketplace/item/791542263108076/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan sentra SR Sedan 4D,2013,83K miles,"Agawam, MA","$5,499",https://www.facebook.com//marketplace/item/1413326059298344/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai elantra GLS Sedan 4D,2013,116K miles,"Bristol, CT","$5,500",https://www.facebook.com//marketplace/item/1323531875272856/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai accent GLS Sedan 4D,2012,89K miles,"Durham, CT","$6,000",https://www.facebook.com//marketplace/item/3785709028327519/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry XLE Sedan 4D,2014,79K miles,"Dudley, MA","$11,500",https://www.facebook.com//marketplace/item/2412322725630216/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2016,139K miles,"Bethel, CT","$5,900",https://www.facebook.com//marketplace/item/852154036784291/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SV Sedan 4D,2015,107K miles,"East Hartford, CT","$5,700",https://www.facebook.com//marketplace/item/1682159465945703/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
