Model,Year,Miles,Location,Prices,Link,Scraped_On
 Volkswagen passat 1.8T SE Sedan 4D,2014,82K miles,"Lafayette, IN","$8,400",https://www.facebook.com//marketplace/item/433630356064088/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Mazda mazda3 Premium Plus Sedan 4D,2018,129K miles,"Lafayette, IN","$9,000",https://www.facebook.com//marketplace/item/488099273733484/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota camry SE Sedan 4D,2017,115K miles,"Chicago, IL","$2,900",https://www.facebook.com//marketplace/item/2508837232811989/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai elantra SEL Sedan 4D,2019,52K miles · Dealership,"Lafayette, IN","$14,900",https://www.facebook.com//marketplace/item/424240743816217/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Volkswagen jetta 1.4T SE Sedan 4D,2021,72K miles,"Lafayette, IN",$440,https://www.facebook.com//marketplace/item/998630461936580/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima,2017,80K miles,"Lafayette, IN","$8,300",https://www.facebook.com//marketplace/item/1110598320049776/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima 2.5 SV Sedan 4D,2017,65K miles,"Lafayette, IN","$13,500",https://www.facebook.com//marketplace/item/1937934423309274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda civic LX Sedan 4D,2012,125K miles,"West Lafayette, IN","$10,000",https://www.facebook.com//marketplace/item/1376770956348677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota camry SE,2019,143K miles,"West Lafayette, IN","$15,999",https://www.facebook.com//marketplace/item/1842322902915862/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata SE Sedan 4D,2021,26K miles,"Lafayette, IN",$549,https://www.facebook.com//marketplace/item/1465051294401861/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord lx,2010,,"West Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/891554669652600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord Sport SE Sedan 4D,2017,81K miles,"Lafayette, IN","$13,575",https://www.facebook.com//marketplace/item/316203778226953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota camry XLE Sedan 4D,2012,177K miles,"Avon, IN","$5,450",https://www.facebook.com//marketplace/item/7758517967598541/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai elantra,2018,99K miles,"Lafayette, IN","$13,900",https://www.facebook.com//marketplace/item/973858104359017/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Volkswagen passat s sedan,2021,55K miles,"Lafayette, IN","$18,500",https://www.facebook.com//marketplace/item/973157264291752/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Mazda mazda6 i Touring Sedan 4D,2014,97K miles,"West Lafayette, IN",$394,https://www.facebook.com//marketplace/item/824950089052923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord LX,2017,68K miles,"Lafayette, IN","$16,541",https://www.facebook.com//marketplace/item/1467437200561472/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima,2019,86K miles · Dealership,"Lafayette, IN","$12,900",https://www.facebook.com//marketplace/item/998625048319955/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
