Model,Location,Miles,Prices,Link,Year,Scraped_On
 Volkswagen passat 1.8T SE Sedan 4D,"Lafayette, IN",82K miles,"$8,400",/marketplace/item/433630356064088/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Mazda mazda3 Premium Plus Sedan 4D,"Lafayette, IN",129K miles,"$9,000",/marketplace/item/488099273733484/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Toyota camry SE Sedan 4D,"Chicago, IL",115K miles,"$2,900",/marketplace/item/2508837232811989/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Hyundai elantra SEL Sedan 4D,"Lafayette, IN",52K miles · Dealership,"$14,900",/marketplace/item/424240743816217/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Volkswagen jetta 1.4T SE Sedan 4D,"Lafayette, IN",72K miles,$440,/marketplace/item/998630461936580/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan altima,"Lafayette, IN",80K miles,"$8,300",/marketplace/item/1110598320049776/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan altima 2.5 SV Sedan 4D,"Lafayette, IN",65K miles,"$13,500",/marketplace/item/1937934423309274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Honda civic LX Sedan 4D,"West Lafayette, IN",125K miles,"$10,000",/marketplace/item/1376770956348677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Toyota camry SE,"West Lafayette, IN",143K miles,"$15,999",/marketplace/item/1842322902915862/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Hyundai sonata SE Sedan 4D,"Lafayette, IN",26K miles,$549,/marketplace/item/1465051294401861/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Honda accord lx,"West Lafayette, IN",,"$6,000",/marketplace/item/891554669652600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Honda accord Sport SE Sedan 4D,"Lafayette, IN",81K miles,"$13,575",/marketplace/item/316203778226953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Toyota camry XLE Sedan 4D,"Avon, IN",177K miles,"$5,450",/marketplace/item/7758517967598541/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Hyundai elantra,"Lafayette, IN",99K miles,"$13,900",/marketplace/item/973858104359017/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Volkswagen passat s sedan,"Lafayette, IN",55K miles,"$18,500",/marketplace/item/973157264291752/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Mazda mazda6 i Touring Sedan 4D,"West Lafayette, IN",97K miles,$394,/marketplace/item/824950089052923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Honda accord LX,"Lafayette, IN",68K miles,"$16,541",/marketplace/item/1467437200561472/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan altima,"Lafayette, IN",86K miles · Dealership,"$12,900",/marketplace/item/998625048319955/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda civic LX Sedan 4D,"West Lafayette, IN",76K miles,$395,/marketplace/item/1134893714443109/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Nissan versa S Sedan 4D,"Lafayette, IN",62K miles · Dealership,"$10,900",/marketplace/item/357887490575934/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Mazda mazda6,"West Lafayette, IN",97K miles,"$11,589",/marketplace/item/810535534123171/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Toyota camry LE Sedan 4D,"Indianapolis, IN",21K miles,"$1,000",/marketplace/item/1214477389917613/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chevrolet sonic LT Sedan 4D,"Lafayette, IN",89K miles,"$6,500",/marketplace/item/1011020790008622/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Ford fiesta SE Hatchback 4D,"Lafayette, IN",83K miles,"$8,200",/marketplace/item/490336853552517/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Kia optima LX Sedan 4D,"Lafayette, IN",183K miles,"$6,450",/marketplace/item/421989800667614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Toyota camry Hybrid Sedan 4D,"Thornton, IL",131K miles,"$6,500",/marketplace/item/484819960604240/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Ford fusion SE Sedan 4D,"Lafayette, IN",78K miles · Dealership,"$11,900",/marketplace/item/1199874988120078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Volkswagen jetta 1.4T SE Sedan 4D,"Lafayette, IN",73K miles,$450,/marketplace/item/427414810067420/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan altima 2.5 sv sedan,"Lafayette, IN",69K miles,$540,/marketplace/item/786748120250873/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Nissan sentra SV,"Lafayette, IN",99K miles,"$11,900",/marketplace/item/1683558322449643/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Acura ilx Sedan 4D,"Lafayette, IN",79K miles · Dealership,"$12,900",/marketplace/item/432852626119378/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan altima 2.5 SL Sedan 4D,"Chicago Heights, IL",104K miles,"$4,500",/marketplace/item/1157387435382338/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Hyundai elantra loaded SEL,"Lafayette, IN",90K miles · Dealership,"$17,900",/marketplace/item/400520252355683/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan sentra NISMO Sedan 4D,"Lafayette, IN",69K miles · Dealership,"$9,900",/marketplace/item/1158392598633764/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Hyundai sonata,"Lafayette, IN",133K miles,"$7,735",/marketplace/item/826728342686808/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Nissan altima s,"West Lafayette, IN",121K miles,$347,/marketplace/item/3870943949800606/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Nissan maxima SV Sedan 4D,"Lafayette, IN",112K miles · Dealership,"$11,900",/marketplace/item/1379077016016815/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Kia forte S,"Lafayette, IN",86K miles,"$13,999",/marketplace/item/1455657605833679/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Nissan rogue,"Lafayette, IN",129K miles · Dealership,"$7,900",/marketplace/item/988512126119347/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet Aveo5 LT Hatchback Sedan 4D,"West Lafayette, IN",60K miles,"$7,999",/marketplace/item/388058690952611/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Goshen, IN",88K miles,"$11,000",/marketplace/item/279310181935650/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Nissan altima 2.5 Sedan 4D,"Lafayette, IN",231K miles,"$3,200",/marketplace/item/458861016842510/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Kia optima,"Lafayette, IN",55K miles,$459,/marketplace/item/388303140890402/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Dodge dart sxt fwd,"Frankfort, IN",86K miles,"$9,680",/marketplace/item/1197606258038794/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Mazda cx-9 Touring Sport Utility 4D,"West Lafayette, IN",153K miles,"$5,900",/marketplace/item/1123796328723266/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Kia optima,"West Lafayette, IN",73K miles,"$14,900",/marketplace/item/876016794560444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
