,Model,Year,Miles,Location,Prices,Link,Scraped_On,Dealership
3, Mazda cx-5 Grand Touring Sport Utility 4D,2020.0,94000.0,"West Lafayette, IN","$17,500",https://www.facebook.com//marketplace/item/830300118551591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
4, Honda accord LX Sedan 4D,2015.0,111000.0,"West Lafayette, IN","$9,500",https://www.facebook.com//marketplace/item/877123424058686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
5, Toyota camry XLE Sedan 4D,2004.0,180000.0,"West Lafayette, IN","$4,000",https://www.facebook.com//marketplace/item/488479520209966/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
6, Mazda cx-5 Sport SUV 4D,2015.0,78000.0,"West Lafayette, IN","$12,750",https://www.facebook.com//marketplace/item/2752865014891478/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
7, Mazda MAZDA3,2019.0,75000.0,"Lafayette, IN","$15,000",https://www.facebook.com//marketplace/item/977543940819552/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
8, Honda accord LX Sedan 4D,2015.0,110000.0,"West Lafayette, IN","$9,500",https://www.facebook.com//marketplace/item/1015634572833737/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
9, Toyota camry SE,2019.0,143000.0,"West Lafayette, IN","$15,999",https://www.facebook.com//marketplace/item/1842322902915862/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
10, Mazda mazda3 Premium Plus Sedan 4D,2018.0,129000.0,"Lafayette, IN","$9,000",https://www.facebook.com//marketplace/item/488099273733484/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
13, Toyota matrix XR Sport Wagon 4D,2007.0,95000.0,"Brownsburg, IN","$5,500",https://www.facebook.com//marketplace/item/415484764134785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
14, Toyota camry SE Sedan 4D,2012.0,164000.0,"West Lafayette, IN","$9,999",https://www.facebook.com//marketplace/item/1193636841830599/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
16, Toyota camry le,2002.0,174000.0,"West Lafayette, IN","NT$3,000",https://www.facebook.com//marketplace/item/795376612574935/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
18, Toyota camry LE Sedan 4D,2009.0,280000.0,"Lafayette, IN","$5,265",https://www.facebook.com//marketplace/item/1208104983932599/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
25, Mazda mazda3 Preferred Hatchback 4D,2020.0,95000.0,"Lafayette, IN","$14,000",https://www.facebook.com//marketplace/item/503029605494217/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
28, Honda accord EX-L Sedan 4D,2015.0,121000.0,"Frankfort, IN","$8,100",https://www.facebook.com//marketplace/item/1468091920738333/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
29, Mazda mazda6 i Touring Sedan 4D,2014.0,133000.0,"Lafayette, IN","$7,650",https://www.facebook.com//marketplace/item/735058701742919/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
31, Mazda mazda3,2007.0,198000.0,"Lafayette, IN","$2,200",https://www.facebook.com//marketplace/item/817516253650913/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
32, Toyota 2015 toyota camry le,2015.0,130000.0,"Lafayette, IN","$11,800",https://www.facebook.com//marketplace/item/469197399063542/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
35, Honda accord EX-L Sedan 4D,2015.0,121000.0,"Frankfort, IN","$8,100",https://www.facebook.com//marketplace/item/487699053720055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
40, Honda cr-v,2014.0,2200.0,"Lafayette, IN","$8,500",https://www.facebook.com//marketplace/item/1205750520778472/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
45, Honda civic LX,2016.0,186000.0,"Lafayette, IN","$8,900",https://www.facebook.com//marketplace/item/1417086788991521/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
